Target,Table,Dataset,Theme,Subtheme,Tablequeryname,Indicatorcode,DecimalprecisionQuerylevel,IndicatorLabelEN,GlossaryDefinitionConcept1,GlossaryDefinitionConcept2,REGIONALSUMSTATUS
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.2 Completion rate, upper secondary education by sex, location and wealth quintile",CR.3.URB.WPIA,,"Completion rate, upper secondary education, urban, adjusted wealth parity index (WPIA)","Completion rate (primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.2 Completion rate, upper secondary education by sex, location and wealth quintile",CR.3.URB.F.WPIA,,"Completion rate, upper secondary education, urban, female, adjusted wealth parity index (WPIA)","Completion rate (primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.2 Completion rate, upper secondary education by sex, location and wealth quintile",CR.3.URB.M.WPIA,,"Completion rate, upper secondary education, urban, male, adjusted wealth parity index (WPIA)","Completion rate (primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.2 Completion rate, upper secondary education by sex, location and wealth quintile",CR.3.URB.Q1.GPIA,,"Completion rate, upper secondary education, urban, poorest quintile, adjusted gender parity index (GPIA)","Completion rate (primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.2 Completion rate, upper secondary education by sex, location and wealth quintile",CR.3.URB.Q2.GPIA,,"Completion rate, upper secondary education, urban, second quintile, adjusted gender parity index (GPIA)","Completion rate (primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.2 Completion rate, upper secondary education by sex, location and wealth quintile",CR.3.URB.Q3.GPIA,,"Completion rate, upper secondary education, urban, middle quintile, adjusted gender parity index (GPIA)","Completion rate (primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.2 Completion rate, upper secondary education by sex, location and wealth quintile",CR.3.URB.Q4.GPIA,,"Completion rate, upper secondary education, urban, fourth quintile, adjusted gender parity index (GPIA)","Completion rate (primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.2 Completion rate, upper secondary education by sex, location and wealth quintile",CR.3.URB.Q5.GPIA,,"Completion rate, upper secondary education, urban, richest quintile, adjusted gender parity index (GPIA)","Completion rate (primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.2 Completion rate, upper secondary education by sex and disability status",CR.3.ABL.GPIA,,"Completion rate, upper secondary education, not disabled, adjusted gender parity index (GPIA)","Completion rate (primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.2 Completion rate, upper secondary education by sex and disability status",CR.3.DIS.GPIA,,"Completion rate, upper secondary education, disabled, adjusted gender parity index (GPIA)","Completion rate (primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.2 Completion rate, upper secondary education by sex and disability status",CR.3.DPIA,,"Completion rate, upper secondary education, adjusted disability parity index (DPIA)","Completion rate (primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.2 Completion rate, upper secondary education by sex and disability status",CR.3.F.DPIA,,"Completion rate, upper secondary education, female, adjusted disability parity index (DPIA)","Completion rate (primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.2 Completion rate, upper secondary education by sex and disability status",CR.3.M.DPIA,,"Completion rate, upper secondary education, male, adjusted disability parity index (DPIA)","Completion rate (primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.3 Gross intake ratio to the last grade (primary education, lower secondary education)",AIR.1.GLAST.GPIA,,"Gross intake ratio to the last grade of primary education, adjusted gender parity index (GPIA)","Gross intake ratio to the last grade (primary education, lower secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.3 Gross intake ratio to the last grade (primary education, lower secondary education)",AIR.2.GPV.GLAST.GPIA,,"Gross intake ratio to the last grade of lower secondary general education, adjusted gender parity index (GPIA)","Gross intake ratio to the last grade (primary education, lower secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",4.1.4 Out-of-school rate by school age and sex (administrative data),ROFST.AGM1.GPIA.CP,,"Out-of-school rate for children one year younger than official age, adjusted gender parity index (GPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",4.1.4 Out-of-school rate by school age and sex (administrative data),ROFST.1.GPIA.CP,,"Out-of-school rate for children of primary school age, adjusted gender parity index (GPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",4.1.4 Out-of-school rate by school age and sex (administrative data),ROFST.3.GPIA.CP,,"Out-of-school rate for youth of upper secondary school age, adjusted gender parity index (GPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",4.1.4 Out-of-school rate by school age and sex (administrative data),ROFST.1T2.GPIA.CP,,"Out-of-school rate for children and adolescents of primary and lower secondary school age, adjusted gender parity index (GPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",4.1.4 Out-of-school rate by school age and sex (administrative data),ROFST.2T3.GPIA.CP,,"Out-of-school rate for adolescents and youth of lower and upper secondary school age, adjusted gender parity index (GPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",4.1.4 Out-of-school rate by school age and sex (administrative data),ROFST.1T3.GPIA.CP,,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, adjusted gender parity index (GPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.4 Out-of-school rate, primary school age by sex and location (household survey data)",ROFST.H.1.GPIA,,"Out-of-school rate for children of primary school age, adjusted gender parity index (household survey data) (GPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.4 Out-of-school rate, primary school age by sex and location (household survey data)",ROFST.H.1.URB.GPIA,,"Out-of-school rate for children of primary school age, urban, adjusted gender parity index (household survey data) (GPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.4 Out-of-school rate, primary school age by sex and location (household survey data)",ROFST.H.1.RUR.GPIA,,"Out-of-school rate for children of primary school age, rural, adjusted gender parity index (household survey data) (GPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.4 Out-of-school rate, primary school age by sex and location (household survey data)",ROFST.H.1.LPIA,,"Out-of-school rate for children of primary school age, adjusted location parity index (household survey data) (LPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.4 Out-of-school rate, primary school age by sex and location (household survey data)",ROFST.H.1.F.LPIA,,"Out-of-school rate for children of primary school age, female, adjusted location parity index (household survey data) (LPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.4 Out-of-school rate, primary school age by sex and location (household survey data)",ROFST.H.1.M.LPIA,,"Out-of-school rate for children of primary school age, male, adjusted location parity index (household survey data) (LPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.4 Out-of-school rate, primary school age by sex and wealth quintile (household survey data)",ROFST.H.1.WPIA,,"Out-of-school rate for children of primary school age, adjusted wealth parity index (household survey data) (WPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.4 Out-of-school rate, primary school age by sex and wealth quintile (household survey data)",ROFST.H.1.F.WPIA,,"Out-of-school rate for children of primary school age, female, adjusted wealth parity index (household survey data) (WPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.4 Out-of-school rate, primary school age by sex and wealth quintile (household survey data)",ROFST.H.1.M.WPIA,,"Out-of-school rate for children of primary school age, male, adjusted wealth parity index (household survey data) (WPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.4 Out-of-school rate, primary school age by sex and wealth quintile (household survey data)",ROFST.H.1.Q1.GPIA,,"Out-of-school rate for children of primary school age, poorest quintile, adjusted gender parity index (household survey data) (GPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.4 Out-of-school rate, primary school age by sex and wealth quintile (household survey data)",ROFST.H.1.Q2.GPIA,,"Out-of-school rate for children of primary school age, second quintile, adjusted gender parity index (household survey data) (GPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.4 Out-of-school rate, primary school age by sex and wealth quintile (household survey data)",ROFST.H.1.Q3.GPIA,,"Out-of-school rate for children of primary school age, middle quintile, adjusted gender parity index (household survey data) (GPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.4 Out-of-school rate, primary school age by sex and wealth quintile (household survey data)",ROFST.H.1.Q4.GPIA,,"Out-of-school rate for children of primary school age, fourth quintile, adjusted gender parity index (household survey data) (GPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.4 Out-of-school rate, primary school age by sex and wealth quintile (household survey data)",ROFST.H.1.Q5.GPIA,,"Out-of-school rate for children of primary school age, richest quintile, adjusted gender parity index (household survey data) (GPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.4 Out-of-school rate, primary school age by sex, location and wealth quintile (household survey data)",ROFST.H.1.URB.WPIA,,"Out-of-school rate for children of primary school age, urban, adjusted wealth parity index (household survey data) (WPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.1.4 Out-of-school rate, primary school age by sex, location and wealth quintile (household survey data)",ROFST.H.1.URB.F.WPIA,,"Out-of-school rate for children of primary school age, urban, female, adjusted wealth parity index (household survey data) (WPIA)","Out-of-school rate (1 year before primary, primary education, lower secondary education, upper secondary education)","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
